State,UnitID,InstitutionName,Control,TotalEnrollment,SFA1819,SFA1718_RV,SFA1617_RV,SFA1516_RV,SFA1415_RV,SFA1314_RV,SFA1213_RV,SFA1112_RV,SFA1011_RV,SFA0910_RV,EFIA2019,EFIA2018_RV,EFIA2017_RV,EFIA2016_RV,EFIA2015_RV,EFIA2014_RV,EFIA2013_RV,EFIA2012_RV,EFIA2011_RV,EFIA2010_RV,IC2019_AY,IC2018_AY,IC2017_AY,IC2016_AY,IC2015_AY,IC2014_AY,IC2013_AY,IC2012_AY,IC2011_AY_RV,IC2010_AY_RV,IC2009_AY_RV,PercentUndergradAid
OK,208035,Western Oklahoma State College,1,848,4723,4542,4293,3684,3912,3981,1503,1660,1899,2235,848,898,945,931,956,1019,2054,2062,2025,1701,4662,4662,3878,3561,3196,3096,3000,3097,2964,2750,2750,82
OK,418302,Western Technology Center,1,269,4849,2032,3299,2958,4274,3462,3858,3273,3871,3686,269,355,383,393,398,382,390,418,482,367,,,,,,,,,,,,21
OK,413820,Yukon Beauty College Inc,3,28,4180,8015,3948,3775,7102,3693,3999,3415,3843,7528,28,19,20,35,33,27,20,34,40,41,,,,,,,,,,,,50
TX,,ABC Beauty Academy,3,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
TX,,Abilene Christian University,2,3538,11237,10784,11822,11640,10456,9000,9782,9519,12056,10777,,,,,,,,,,,34850,33330,32070,30830,29450,28350,26770,25270,22760,20290,,100
TX,,Academy of Hair Design-Beaumont,3,57,5222,6484,6482,9017,10575,10575,,,,,,,,,,,,,,,,,,,,,,,,,,100
TX,,Academy of Hair Design-Jasper,3,42,5738,5732,5719,7513,7232,6250,,,,,,,,,,,,,,,,,,,,,,,,,,100
TX,,Academy of Hair Design-Lufkin,3,84,5688,5467,5470,4763,5472,5546,,,,,,,,,,,,,,,,,,,,,,,,,,80
TX,,Advanced Barber College and Hair Design,3,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
TX,,Advanced Beauty College,3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
TX,,Alamo City Barber College,3,157,7630,7968,9216,9764,7472,3341,,,,,,,,,,,,,,,,,,,,,,,,,,94
TX,,Alamo Community College District Central Office,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,Allgood Beauty Institute,3,8,4060,5025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
TX,,Altierus Career College-Bissonnet,2,383,5540,6724,6253,6818,7644,11423,11571,11829,11141,8943,,,,,,,,,,,,,,,,,,,,,,87
TX,,Alvin Community College,1,5573,3290,3298,3308,3031,1301,3132,2798,1969,2788,3163,,,,,,,,,,,1680,1622,1562,1514,1510,1510,1432,1432,1220,1114,,55
TX,,Amarillo College,1,9854,5657,5364,5660,5295,4942,4787,5157,5103,4907,4616,,,,,,,,,,,2136,2136,2010,2010,1914,1914,1842,1674,1506,1410,,72
TX,,Amberton University,2,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,American College of Acupuncture and Oriental Med,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,American InterContinental University-Houston,3,257,7082,6402,5480,7089,8094,8139,8808,8477,7146,10458,,,,,,,,,,,14640,14640,14553,14634,14638,14675,14674,14070,15015,14760,,67
TX,,Angelina College,1,4919,,,,,,,,,,501,,,,,,,,,,,2640,2520,2370,2310,2130,2040,1860,1800,1560,1410,,91
TX,,Angelo State University,1,8672,5901,5574,5461,5697,5797,5723,5920,5629,5260,5690,,,,,,,,,,,7436,7201,7047,6892,6856,6559,6327,6211,5672,5202,,94
TX,,Ann Webb Skin Institute,3,134,5881,6878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
TX,,AOMA Graduate School of Integrative Medicine,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,Arizona College-Dallas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,Arlington Baptist University,2,161,5787,8492,6703,6424,5907,6948,7592,6980,5128,4383,,,,,,,,,,,13690,13600,11500,11000,9000,8840,7640,7540,7340,7340,,97
